member_id,full_name,age,membership_type,months_as_member,avg_weekly_attendance,avg_points_per_session,attendance_trend,points_trend,days_since_last_visit,churn
1,Scarlett Martin,35,Premium,22,2.04,95.35,decreasing,increasing,33,0
2,Owen Anderson,23,Premium,21,1.47,64.22,increasing,decreasing,40,1
3,Lucas Lewis,35,Basic,22,2.54,61.63,increasing,stable,40,0
4,Daniel Miller,36,Basic,34,4.11,67.27,stable,stable,4,0
5,Evelyn Thompson,39,Basic,30,2.13,68.77,increasing,decreasing,14,1
6,Emma Hernandez,54,Basic,25,4.0,86.36,stable,increasing,46,0
7,Logan Lee,49,Premium,28,4.61,58.39,stable,decreasing,2,1
8,Hannah Davis,58,Basic,1,1.55,93.07,stable,decreasing,18,0
9,Logan Williams,20,Premium,4,2.51,57.99,stable,decreasing,27,0
10,Michael Lee,45,Basic,7,4.6,51.03,decreasing,decreasing,2,1
11,Noah White,27,Basic,9,2.38,77.86,increasing,stable,37,1
12,Theodore Garcia,52,Premium,19,2.54,88.46,decreasing,increasing,3,0
13,Noah Ramirez,46,Basic,1,0.83,72.68,decreasing,decreasing,23,0
14,Daniel Smith,32,Basic,10,1.97,76.53,stable,stable,30,0
15,Olivia Sanchez,50,Basic,9,3.06,99.31,stable,increasing,44,0
16,Michael Lewis,24,Basic,32,4.93,88.67,decreasing,decreasing,58,0
17,Jackson Taylor,29,Premium,32,2.3,70.46,increasing,stable,44,0
18,Mateo Clark,47,Basic,6,0.84,63.53,stable,decreasing,58,1
19,Jack Ramirez,38,Basic,17,1.09,86.43,stable,decreasing,10,0
20,Mia Anderson,48,Premium,10,2.46,82.44,increasing,decreasing,36,1
21,Oliver Jones,41,Basic,27,3.68,76.28,decreasing,decreasing,0,0
22,Benjamin Lee,37,Unlimited,35,3.14,65.09,decreasing,decreasing,8,0
23,Henry Miller,54,Premium,21,2.96,68.85,decreasing,decreasing,16,0
24,Harper Brown,21,Premium,25,3.81,67.79,increasing,stable,53,1
25,Jackson Ramirez,45,Premium,28,1.78,65.34,increasing,increasing,0,0
26,Sophia Moore,37,Basic,15,2.52,60.98,stable,decreasing,2,0
27,Henry Sanchez,41,Premium,4,1.98,73.98,increasing,decreasing,46,1
28,Noah Martin,49,Basic,29,2.23,60.31,stable,stable,25,0
29,Jack Anderson,58,Unlimited,9,1.49,72.66,stable,increasing,52,1
30,Benjamin Lopez,53,Basic,27,2.16,38.5,stable,stable,30,0
31,Lucas Anderson,51,Premium,26,2.47,61.0,stable,increasing,25,0
32,Lily Wilson,53,Premium,19,2.13,86.47,stable,decreasing,22,0
33,Amelia Brown,19,Basic,28,2.34,56.49,increasing,decreasing,29,0
34,Zoey Brown,32,Basic,17,2.91,78.88,stable,increasing,9,0
35,Noah Robinson,51,Premium,20,3.74,57.74,stable,stable,7,0
36,William Perez,53,Unlimited,23,3.81,81.64,stable,increasing,43,0
37,Elijah Perez,23,Basic,32,3.26,65.54,decreasing,decreasing,24,0
38,Owen Moore,56,Premium,33,1.24,64.95,decreasing,stable,21,0
39,Sebastian Lopez,59,Unlimited,5,2.14,70.82,decreasing,stable,14,0
40,Chloe Martinez,29,Unlimited,34,2.23,49.85,increasing,stable,58,0
41,Hannah Wilson,20,Basic,11,1.84,84.58,increasing,increasing,40,0
42,Charlotte Thomas,35,Premium,3,2.84,89.55,stable,stable,55,1
43,Isabella Davis,57,Basic,33,0.91,64.6,decreasing,increasing,56,1
44,Sophia Thompson,38,Unlimited,11,4.19,77.86,stable,stable,9,0
45,Zoey Lee,32,Premium,16,3.7,81.68,decreasing,increasing,19,0
46,Mia Gonzalez,50,Basic,18,2.98,68.63,stable,stable,40,1
47,Harper Anderson,52,Premium,30,2.44,53.38,decreasing,decreasing,46,0
48,Logan Sanchez,43,Basic,10,3.73,93.91,decreasing,decreasing,22,1
49,Jackson Ramirez,25,Unlimited,18,3.19,64.11,increasing,decreasing,52,1
50,Owen Anderson,53,Unlimited,19,3.61,60.86,stable,decreasing,52,1
51,Liam Harris,47,Premium,13,2.44,94.58,stable,increasing,0,0
52,Benjamin Rodriguez,40,Basic,3,4.29,79.15,increasing,increasing,1,0
53,Logan Smith,59,Premium,10,3.67,73.86,stable,stable,57,1
54,Lucas White,31,Basic,1,3.01,55.44,stable,decreasing,18,0
55,Emma Jackson,31,Basic,27,3.76,82.04,increasing,decreasing,13,0
56,Amelia Davis,19,Unlimited,8,2.08,100.0,stable,increasing,7,0
57,Lily Williams,54,Basic,17,1.33,83.21,stable,stable,37,1
58,Grace Clark,22,Basic,9,2.82,77.44,increasing,increasing,11,0
59,James Martinez,55,Unlimited,6,2.44,80.82,stable,decreasing,25,0
60,Scarlett Sanchez,58,Basic,25,2.3,65.08,increasing,stable,26,0
61,Jack Miller,31,Basic,28,3.72,64.94,decreasing,increasing,28,0
62,Henry Davis,56,Unlimited,33,2.67,64.74,increasing,stable,14,0
63,Olivia Johnson,42,Basic,9,2.76,61.38,decreasing,stable,45,1
